year,world_population
1970,3694683801
1971,3769847834
1972,3844917687
1973,3920805030
1974,3996416108
1975,4070735264
1976,4144246391
1977,4217863819
1978,4292097508
1979,4368539472
1980,4447606208
1981,4528777285
1982,4612673436
1983,4697327604
1984,4782175500
1985,4868943460
1986,4958072822
1987,5049746378
1988,5141992550
1989,5234431714
1990,5327803075
1991,5418735879
1992,5505989821
1993,5591544841
1994,5675551281
1995,5758878997
1996,5842055726
1997,5924787787
1998,6007066714
1999,6089006330
2000,6171703018
2001,6254936479
2002,6337730319
2003,6420361649
2004,6503377778
2005,6586970145
2006,6671452018
2007,6757308750
2008,6844457675
2009,6932766459
2010,7021732131
2011,7110923797
2012,7201202531
2013,7291793608
2014,7381616239
2015,7470491904
2016,7558554580
2017,7645618013
2018,7729902724
2019,7811293714
2020,7887001284
2021,7954448405
2022,8021407170
2023,8091734935